path,id,duration,actual_duration,start_frame,end_frame,object,action,motion_score
ZY20210800004/H4/C8/N14/S71/s03/T2,3,20.0,300,15,32,Bucket,Grasp,3792.0
ZY20210800004/H4/C8/N14/S71/s03/T2,4,20.0,300,32,63,Bucket,Pickup,9026.933333333332
ZY20210800004/H4/C8/N14/S71/s03/T2,5,20.0,300,63,110,Bucket,putdown,12849.733333333334
ZY20210800004/H4/C8/N14/S71/s03/T2,8,20.0,300,122,137,Bucket,Grasp,5046.266666666666
ZY20210800004/H4/C8/N14/S71/s03/T2,9,20.0,300,137,162,Bucket,Pickup,13001.2
ZY20210800004/H4/C8/N14/S71/s03/T2,11,20.0,300,222,262,Bucket,putdown,31402.13333333333
ZY20210800004/H4/C8/N14/S71/s03/T1,3,20.0,300,15,34,Bucket,Grasp,8521.4
ZY20210800004/H4/C8/N14/S71/s03/T1,4,20.0,300,34,86,Bucket,Pickup,11551.4
ZY20210800004/H4/C8/N14/S71/s03/T1,5,20.0,300,86,150,Bucket,putdown,10588.733333333334
ZY20210800004/H4/C8/N14/S71/s03/T1,8,20.0,300,159,178,Bucket,Grasp,10582.666666666666
ZY20210800004/H4/C8/N14/S71/s03/T1,9,20.0,300,178,221,Bucket,Pickup,9169.2
ZY20210800004/H4/C8/N14/S71/s03/T1,10,20.0,300,221,267,Bucket,putdown,12308.333333333334
ZY20210800004/H4/C8/N13/S71/s02/T2,3,20.0,300,13,30,Bucket,Grasp,4556.6
ZY20210800004/H4/C8/N13/S71/s02/T2,4,20.0,300,30,81,Bucket,Pickup,6021.066666666667
ZY20210800004/H4/C8/N13/S71/s02/T2,5,20.0,300,81,137,Bucket,putdown,8113.866666666667
ZY20210800004/H4/C8/N13/S71/s02/T2,8,20.0,300,156,174,Bucket,Grasp,8297.333333333334
ZY20210800004/H4/C8/N13/S71/s02/T2,11,20.0,300,249,280,Bucket,putdown,17432.6
ZY20210800004/H4/C8/N13/S71/s02/T1,3,20.0,300,13,35,Bucket,Grasp,9810.133333333331
ZY20210800004/H4/C8/N13/S71/s02/T1,4,20.0,300,35,90,Bucket,Pickup,7366.4
ZY20210800004/H4/C8/N13/S71/s02/T1,5,20.0,300,90,145,Bucket,putdown,7716.4
ZY20210800004/H4/C8/N13/S71/s02/T1,8,20.0,300,159,174,Bucket,Grasp,11613.2
ZY20210800004/H4/C8/N13/S71/s02/T1,9,20.0,300,174,208,Bucket,Pickup,6046.2
ZY20210800004/H4/C8/N13/S71/s02/T1,10,20.0,300,208,261,Bucket,putdown,6725.266666666666
ZY20210800004/H4/C8/N12/S71/s02/T2,3,20.0,300,13,34,Bucket,Grasp,8762.0
ZY20210800004/H4/C8/N12/S71/s02/T2,4,20.0,300,34,69,Bucket,Pickup,7962.4
ZY20210800004/H4/C8/N12/S71/s02/T2,5,20.0,300,69,115,Bucket,putdown,12473.133333333331
ZY20210800004/H4/C8/N12/S71/s02/T2,8,20.0,300,140,158,Bucket,Grasp,12213.8
ZY20210800004/H4/C8/N12/S71/s02/T2,11,20.0,300,217,258,Bucket,putdown,31735.93333333333
ZY20210800004/H4/C8/N12/S71/s02/T1,3,20.0,300,13,34,Bucket,Grasp,9313.8
ZY20210800004/H4/C8/N12/S71/s02/T1,4,20.0,300,34,89,Bucket,Pickup,8037.6
ZY20210800004/H4/C8/N12/S71/s02/T1,5,20.0,300,89,137,Bucket,putdown,6613.266666666666
ZY20210800004/H4/C8/N12/S71/s02/T1,8,20.0,300,153,170,Bucket,Grasp,15399.933333333332
ZY20210800004/H4/C8/N12/S71/s02/T1,9,20.0,300,170,201,Bucket,Pickup,7356.666666666667
ZY20210800004/H4/C8/N12/S71/s02/T1,10,20.0,300,201,272,Bucket,putdown,6636.133333333333
ZY20210800004/H4/C7/N15/S56/s02/T1,3,20.0,300,12,33,Bowl,Grasp,3213.4666666666667
ZY20210800004/H4/C7/N15/S56/s02/T1,4,20.0,300,33,75,Bowl,Pickup,3485.0666666666666
ZY20210800004/H4/C7/N15/S56/s02/T1,6,20.0,300,75,128,Bowl,putdown,4369.2
